2014-11-14 16:53:01 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:01 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:06 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:06 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:09 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:09 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:11 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:11 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:14 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:14 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:18 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:18 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:20 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:20 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:24 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:25 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:29 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:29 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:33 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:33 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:37 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:37 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:39 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:39 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:42 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:42 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:50 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:50 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:53 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:53 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:53:57 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:53:57 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:00 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:00 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:03 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:03 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:06 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:06 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:10 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:10 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:12 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:12 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:15 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:15 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:17 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:18 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:20 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:20 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:22 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:23 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:31 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:31 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:33 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:33 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:36 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:36 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:40 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:40 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:47 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:47 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:54 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:54 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:56 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:56 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:54:59 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:54:59 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:02 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:03 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:05 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:05 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:08 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:08 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:11 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:11 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:13 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:13 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:16 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:16 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:18 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:18 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:21 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:21 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:24 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:24 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:26 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:26 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:29 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:29 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:32 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:32 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:35 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
